Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,WALTER LINCOLN PALMER,"Associate Professor of Medicine, University of Chicago, Chicago, Ill.",The Mechanism of Pain in Gastric and Duodenal Ulcers.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ERMA ANITA SMITH,"Assistant Professor of Physiology, State College, Ames, Iowa.",Studies in Deficiency Disease.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,SARAH SHELDON TOWER,"Fellow in Neurology, Johns Hopkins University, Baltimore, Md.",A Study of the Sympathetic Innervation to Skeletal Muscle.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,GEORGE EARLE WAKERLIN,"Assistant in Medicine, Billings Hospital, University of Chicago, Chicago, Ill.",The Motor Activity of the Gall Bladder.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ONIS HARRISON HORRALL,"Division Surgeon, Chicago, Burlington & Quincy Railroad, Chicago, Ill.",Toxicity of Bile.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,RUSSELL AMOS WAUD,"Instructor in Physiology, University of Western Ontario, London, Ont.","Sudden Transitory Reduction in the Viscosity of the Blood as a Cause of the Fall in Blood Pressure in ""Shock.""",,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,GEORGE RUSSELL CRISLER,"Instructor in Physiology, University of West Virginia, Morgantown, W.Va.",Studies on Heterogeneous Transplantation of the Testis.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CHARLES EISEMAN,"Intern, Buffalo General Hospital, Buffalo, N.Y.",The Relation of the Specific Gravity of the Whole Blood of Dogs to Parathyroid Overdosage.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,MAURICE HAROLD FRIEDMAN,"Instructor in Physiology, University of Pennsylvania, Philadelphia, Pa.",Studies on Isospermatoxins.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,HARALD GROTH OXHOLM HOLCK,"Associate Professor of Pharmacology, American University, Beirut.",A Five-Year Experiment on Man on the Relation between Diet and Physiological Efficiency.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,CHARLES SPURGEON SMITH,"Professor of Biology, State Normal College, San Marcos, Tex.",Water Retention under Low Barometric Pressure.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ARTHUR H. STEINHAUS,"Professor of Physiology, Y.M.C.A. College, Chicago, Ill.",Studies on the Physiology of Exercise.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ELLEN STEWART,"Little Company Mary Hospital, 95th and California Streets, Evergreen Park, Ill.",Alimentary Rate in the Vitamin Deficiency Diseases.,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,EDWARD JERALD VAN LIERE,"Professor of Physiology, University of West Virginia, Morgantown, W.Va.",The Effect of Anoxemia on the Size of the Heart as Studied by the X-Ray and the Significance of the Pericardium in Acute Cardiac Dilation as Produced by Anoxemia.,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,JOHN PAUL QUIGLEY,"Instructor in Physiology, Western Reserve University, Cleveland, Ohio.",An Investigation of the Mechanism of the Action of Insulin Hypoglycemia on Gastric Hunger Contractions.,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,KATHLEEN SULLIVAN STILL,"Instructor in Nutrition, Illinois Training School of Nurses, Chicago, Ill.",The Motor and Secretory Activity of the Stomach during Acute and Chronic Obstructive Jaundice in Dogs.,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,MYRON MCDONALD WEAVER,"Assistant Professor of Pharmacology, Loyola University, Chicago, Ill.",Studies on Pancreatic Secretion.,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,LEONARD BENJAMIN SHPINER,"Intern, Michael Reese Hospital, Chicago, Ill.",The Effect of Ergotamine on the Blood Sugar.,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,SAMUEL APPELROT,"American University of Beirut, Beirut, Syria.",Studies on Cardiac Inhibition.,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,ADELAIDE MCFAYDEN JOHNSON,"Assistant in Physiology, University of Chicago, Chicago, Ill.",Attempted Autotransplantation of the Adrenal Cortex.,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,VICTOR EINAR JOHNSON,"Instructor in Physiology, University of Chicago, Chicago, Ill.",The Cause of the Secondary Rise in Blood Pressure Following Peripheral Splanchnic Nerve Stimulation.,,,,,,,,,,,
1931,THE DIVISION OF THE BIOLOGICAL SCIENCES,PHYSIOLOGY,DOROTHY PALMER GULLIKSEN,"(Mrs. H. O.), Assistant in Physiology, University of Chicago, Chicago, Ill.",The Influence on Metabolism of the Conditioned Value of a Series of Stimulus Situations.,,,,,,,,,,,
1903,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JOHN BROADUS WATSON,"Vice-President, J. Walter Thompson Advertising Co., New York, N.Y.",The Psychic Development of the White Rat Correlated with the Growth of the Nervous System.,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JESSIE BLOUNT ALLEN,"(Mrs. Werrett Wallace Charters), Head of the Department of Adult Education, Ohio State University, Columbus, Ohio.",The Psychology of the Guinea-Pig.,,,,,,,,,,,
1905,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,HARVEY CARR,"Professor of Experimental Psychology and Chairman of the Department, University of Chicago, Chicago, Ill.",Some Visual Illusions Due to Eye Closure.,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JUNE ETTA DOWNEY,"Professor and Head of the Department of Psychology, University of Wyoming, Laramie, Wyo.",Control Processes in Handwriting: An Experimental Study of Verbal Imagery.,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,GRACE MAXWELL FERNALD,"Associate Professor of Psychology, University of California, Southern Branch, Los Angeles, Calif.",The Phenomena of Peripheral Vision as Affected by the Brightness of Background and by Dark Adaptation.,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JOSEPH PETERSON,"Professor and Head of the Department of Psychology, Peabody College for Teachers, Nashville, Tenn.",Ohm's Law in Relation to Some Secondary Phenomena of Hearing.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,WALTER VAN DYKE BINGHAM,"Director, Personnel Research Federation and Editor, The Personnel Journal, 40 West 40th Street, New York, N.Y.",Studies in Melody and Movement.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,FLORENCE ELLA RICHARDSON,"(Mrs. Edward S. Robinson), care of Department of Psychology, Yale University, New Haven, Conn.",Sensory Control Processes in the Rat.,,,,,,,,,,,
1908,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CLARENCE STONE YOAKUM,"Vice-President, University of Michigan, Ann Arbor, Michigan.",An Experimental Study of Fatigue.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,HARVEY ANDREW PETERSON,"Professor of Psychology, Illinois State Normal University, Normal, Ill.",The Influence of Complexity and Dissimilarity in Memory.,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ARTHUR HOWARD SUTHERLAND,"Personnel Department, Irving Trust Co., New York, N.Y.",Word Association Reactions: A Contribution to the Analysis of Ideational Complexes.,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,HENRY FOSTER ADAMS,"Professor of Psychology, University of Michigan, Ann Arbor, Mich.",Autokinetic Sensations.,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,MABEL RUTH FERNALD,"Assistant Director of Vocational Bureau, Director of the Psychological Laboratory, Board of Education, Cincinnati, Ohio.",Diagnosis of Mental Imagery.,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,MARY HOLMES STEVENS HAYES,"(Mrs. J. W.), Director, Vocational Service for Juniors, 122 East 25th Street, New York, N.Y.",Cutaneous After-Sensations.,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CLARA JEAN WEIDENSALL,"310 South 18th Street, Omaha, Neb.",A Study in Visual Rhythm.,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JASPER CONVERSE BARNES,"(Died September 13, 1931.)",Experimental Analysis of Voluntary Movement.,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ETHEL MAY CHAMBERLAIN,"(Mrs. G. Q. Porter), 19 Forest Street, New Britain, Conn.",The Purkinje Phenomenon.,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JOSEPH WANTON HAYES,"Head of Research, Crowell Publishing Co., New York, N.Y.",Investigation of the Horizontal-Vertical Illusion of Brightness in Foveal Vision.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,WALTER SAMUEL HUNTER,"G. Stanley Hall Professor of Genetic Psychology, Clark University, Worcester, Mass.",The Delayed Reaction.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,FLEMING ALLEN CLAY PERRIN,"Professor and Head of the Department of Psychology, University of Texas, Austin, Tex.",An Experimental and Introspective Study of the Human Learning Process in the Maze.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CARL LEO STAHR RAHN,"Baraboo, Wis.",A Critical and Constructive Study of the Psychology of Thinking.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,STELLA BURNHAM VINCENT,"Instructor in Psychology, Chicago Normal College, Chicago, Ill.",The Function of Vibrissae in the Behavior of the White Rat.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,EDWINA ABBOTT,"(Mrs. Austin M. Cowan), Director, Wichita Child Research Laboratory, Friends University, Wichita, Kan.",The Difference Limen in Temperature Sensations.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ELLSWORTH FARIS,"Professor and Chairman of the Department of Sociology, University of Chicago, Chicago, Ill.",The Psychology of Punishment.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ROBERTS BISHOP OWEN,"Lawyer, 185 Devonshire Street, Boston, Mass.",The Psychology of Recognition.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,HARRY DEXTER KITSON,"Professor of Education, Teachers College, Columbia University, New York, N.Y.",The Scientific Study of the College Student.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,LOUIS AUGUSTUS PECHSTEIN,"Professor and Dean of the College for Teachers, University of Cincinnati, Cincinnati, Ohio.",Methods in Motor Learning.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,SARAH MARGARET RITTER,"Head of Department of Philosophy and Psychology, Wesleyan College, Macon, Georgia.",The Vertical-Horizontal Illusion-An Experimental Study of Disparities in the Normal Visual Field.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,LOUIE WINFIELD WEBB,"Associate Professor of Education, Northwestern University, Evanston, Ill.","Transfer of Training and Retroaction, a Comparative Study.",,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ADA HART ARLITT,"Professor and Head of the Department of Child Care and Training, University of Cincinnati, Cincinnati, Ohio.",Effect of Alcohol on the Intelligent Behavior of the White Rat.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,SHOAN MASUZO FUKUYA,"Professor of Psychology, Aoyama Normal School, Tokyo, Japan.",Effects of Attention upon the Efficiency of Intellectual Functions.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,EDWARD SAFFORD JONES,"Professor of Psychology and Director of Personnel Research, University of Buffalo, Buffalo, N.Y.",The Influence of Age and Experience on Correlations Connected with Mental Tests.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CONRAD LUND KJERSTAD,"President, State Teachers College, Dickinson, N.D.",The Form of the Learning Curve.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JOHN CHRISTIAN PETERSON,"Professor of Psychology, Kansas State Agricultural College, Manhattan, Kan.",An Experimental Study of the Higher Mental Processes in Learning.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CURT ROSENOW,"Psychologist, Child Guidance Clinic, New York City.",Analysis of Mental Functions.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,BEARDSLEY RUML,"Professor of Education; Dean of the Division of the Social Sciences, University of Chicago, Chicago, Ill.",The Reliability of Mental Tests in the Division of an Academic Group.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,LOUIS LEON THURSTONE,"Professor of Psychology, University of Chicago, Chicago, Ill.",The Learning Curve Equation.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,RUTLEDGE THORNTON WILTBANK,"Professor and Head of the Department of Psychology, Knox College, Galesburg, Ill.",Transfer of Learning in Animals.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,HARRY HANES WYLIE,"(Died June 10, 1923.)",An Experimental Study of Transfer of Responses in White Rats.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,FORREST ALVA KINGSBURY,"Associate Professor of Psychology, University of Chicago, Chicago, Ill.",A Group Intelligence Scale for Primary Grades.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CHIH WEI LUH,"Professor of Psychology and Head of Department, Yenching University, Peping, China.",The Conditions of Retention.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,EDWARD STEVENS ROBINSON,"Professor of Psychology, Yale University, New Haven, Conn.",Some Factors Determining the Degree of Retroactive Inhibition.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,MARGARET WOOSTER,(Mrs. Merle E. Curti),"Associate Professor of Psychology, Smith College, Northampton, Mass.",,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JOSEPH USSERY YARBROUGH,"Professor and Head of the Department of Psychology, Southern Methodist University, Dallas, Tex.",Influence of Time Interval upon the Rate of Learning in the White Rat.,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,HELEN LOIS KOCH,"Associate Professor of Home Economics, University of Chicago, Chicago, Ill.",The Influence of Mechanical Guidance upon Maze Learning.,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,KATHERINE EVA LUDGATE,"(Mrs. Herbert Woodrow), 1004 West Healey Street, Champaign, Ill.",The Effect of Manual Guidance upon Maze Learning.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,WILLIAM BERRY,"Professor and Chairman of the Department of Psychology, University of Rochester, Rochester, N.Y.","The Flight of Colors in the After-Image of a Bright, White Light.",,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ELMER AUGUSTIN CULLER,"Associate Professor of Psychology, University of Illinois, Urbana, Ill.",Weber's Law in Thermal Discrimination.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,TSU LIEN WANG,"Secretary to the President, Hsing Hua College, Tsin-HwaYuan, Peiping, China.",The Influence of Tuition in the Acquiring of Skill.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CARL JOHN WARDEN,"Assistant Professor of Psychology, Columbia University, New York, N.Y.",The Distribution of Practice in Animal Learning.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,WILLIAM EMET BLATZ,"Associate Professor of Psychology, University of Toronto, Toronto, Canada.",A Physiological Study of the Emotion of Fear.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CHESTER WILLIAM DARROW,"Research Psychologist, Institute for Juvenile Research, Chicago, Ill.",The Effect of Bodily Attitudes in Facilitating and Inhibiting Verbal Associations.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,WILLIAM THOMAS HERON,"Assistant Professor of Psychology, University of Minnesota, Minneapolis, Minn.",Individual Differences in Ability versus Chance in the Learning of the Stylus Maze.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,VIVIENNE ROBISON MCCLATCHY,"(Died January 12, 1931.)",The Optimal Position of a Rest Period in Learning.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,IRENE CASE SHERMAN,"(Mrs. M.), Lecturer, George Washington University, 1825 Columbia Road, Washington, D.C.",The Suggestibility of Normal and Mentally Defective Children.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,CHIAO TSAI,"Associate Professor and Head of Department of Physiology, College of Medicine, Central National University, Woosung, Shanghai, China.",A Comparative Study of Retention Curves for Motor Habits.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,AGUSTIN SIKAT ALONZO,"Professor of Psychology, University of the Philippines, Manila, P.I.",The Influence of Manual Guidance upon Maze Learning.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,MARGARET ELIZABETH MILLER,"(Mrs. W. L. Chenery), 1353 Parklane, Pelham Manor, N.Y.",The Effect of Certain Conditions of Muscular Contraction and Relaxation on the Non-Voluntary Reaction to an Electric Shock.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,MILBOURNE OTTO WILSON,"Associate Professor of Psychology, University of Oklahoma, Norman, Okla.",Interests of College Students.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,MYRON CALL BARLOW,"Professor of Psychology, University of Utah, Salt Lake City, Utah.",Measurement of Intelligence in Mental Multiplication by Learning Curve Equation Constants and Other Achievements.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ARTHUR GILBERT BILLS,"Assistant Professor of Psychology, University of Chicago, Chicago, Ill.",The Influence of Muscular Tension on the Efficiency of Mental Work.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ARTHUR WILLIAM KORNHAUSER,"Associate Professor of Business Psychology, University of Chicago, Chicago, Ill.",A Statistical Study of Some Methods Used in Judging College Students.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,JOHN ALEXANDER MCGEOCH,"Professor and Chairman of the Department of Psychology, University of Missouri, Columbia, Mo.",A Study of the Psychology of Testimony.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,SHUH PAN,"Associate Professor of Psychology and Head of Department, Central National University, Nanking, China.",The Influence of Contextual Conditions upon Learning and Recall.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,"WILLIAM HERBERT SHELDON, JR.","Assistant Professor of Psychology, University of Wisconsin, Madison, Wis.","Some Relations between Certain Physical, Mental, and Social Traits.",,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,ERNST FREDERICK THELIN,"Associate Professor of Psychology, Syracuse University, Syracuse, N.Y.",The Perception of Relative Visual Motion.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,OSBORNE WILLIAMS,"Director of Psychology Laboratory and Assistant Professor of Psychology, University of Florida, Gainesville, Fla.",A Study of the Phenomenon of Reminiscence.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,THELMA GWINN THURSTONE,"5642 Kimbark Ave., Chicago, Ill.",The Relation between the Difficulty of a Test and its Diagnostic Value.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,FRANCES REBECCA BOTKIN,"(Mrs. Clyde S. Marshall), Psychologist, PsychoClinic, Yale University, New Haven, Conn.",The Influence of Visual Guidance on the Acquisition of Skill.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,YUN HSUAN HO,"Tsing Hua College Alumni Association, Peiping, China.",Transfer and Degree of Integration.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,PSYCHOLOGY,SHAO YU LIU,"Associate Professor of Psychology, Chingtu University, Szechwan, China.",The Relation of Age to the Learning Ability of the White Rat.,,,,,,,,,,,
